"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","4630","","profilepage.ProfilePageTest","","profilepage.ProfilePageTest","","navigateToConstructor2",""
"passed","","","4611","","profilepage.ProfilePageTest","","profilepage.ProfilePageTest","","navigateToConstructor",""
"passed","","","3875","","loginpage.LoginPageTest","","loginpage.LoginPageTest","","loginFromRecoveryPassPage",""
"passed","","","4950","","profilepage.ProfilePageTest","","profilepage.ProfilePageTest","","logOut",""
"passed","","","4613","","loginpage.LoginPageTest","","loginpage.LoginPageTest","","loginFromMyAccount",""
"passed","","","6124","","loginpage.LoginPageTest","","loginpage.LoginPageTest","","loginFromMainPage",""
"passed","","","3772","","mainpage.MainPageTest","","mainpage.MainPageTest","","scrollTest",""
"passed","","","8023","","registerpage.RegisterPagePositiveTest","","registerpage.RegisterPagePositiveTest","","userCanBeRegistered",""
"passed","","","4260","","registerpage.RegisterPageNegativeTest","","registerpage.RegisterPageNegativeTest","","userCannotBeRegisteredWithShortPass",""
"passed","","","5008","","mainpage.MainPageTest","","mainpage.MainPageTest","","navigateToMyAccount",""
"passed","","","3978","","loginpage.LoginPageTest","","loginpage.LoginPageTest","","loginFromRegisterPage",""
